100 lat long pcc pcn mem st bw sd cost service task
1 44.625262 10.893088 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
2 44.884469 11.059152 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
3 44.641623 10.913198 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
4 44.644637 10.929353 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
5 44.656825 10.875966 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
6 44.661508 10.889147 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
7 44.635734 10.947216 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
8 44.657643 10.949641 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
9 44.631904 10.899614 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
10 44.662918 10.925206 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
11 44.630666 10.909429 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.656308 10.896589 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
13 44.661147 10.927231 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
14 44.644519 10.923326 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
15 44.634073 10.933342 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
16 44.625435 10.896339 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
17 44.621414 10.938813 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
18 44.631749 10.916527 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
19 44.643508 10.886377 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
20 44.655270 10.962604 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.670502 10.934840 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
22 44.609558 10.850379 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
23 44.647058 10.842760 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
24 44.649934 10.932892 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
25 44.659224 10.892006 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
26 44.679437 11.040059 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
27 44.641242 10.890510 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
28 44.633829 10.969333 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
29 44.644122 10.942273 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
30 44.645791 10.920157 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
31 44.666354 10.935281 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
32 44.629577 10.870020 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
33 44.659502 10.901343 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
34 44.642255 10.945016 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
35 44.629051 10.925539 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
36 44.646018 10.923316 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
37 44.618136 10.924923 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
38 44.535869 11.016590 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
39 44.645950 10.911430 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
40 44.655157 10.937415 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
41 44.645879 10.930202 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
42 44.622270 10.816410 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
43 44.625556 10.894379 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
44 44.635559 10.948633 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
45 44.660409 10.962256 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
46 44.626128 10.929277 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
47 44.668198 10.938464 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
48 44.650372 10.898436 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
49 44.509709 10.950041 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
50 44.641216 10.943818 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
51 44.633814 10.918435 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
52 44.678212 10.952872 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
53 44.643647 10.916386 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
54 44.647051 10.916171 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
55 44.633656 10.899052 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
56 44.637533 10.913619 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
57 44.652093 10.934599 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
58 44.892099 10.901418 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
59 44.624830 10.928146 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
60 44.629643 10.916028 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
61 44.651441 10.943968 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
62 44.637662 10.940099 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
63 44.668256 10.930643 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
64 44.641348 10.955361 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
65 44.658350 10.860539 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
66 44.656795 10.914978 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
67 44.883938 11.074567 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
68 44.643939 10.928933 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
69 44.659414 10.936595 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
70 44.630996 10.897647 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
71 44.584341 11.078741 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
72 44.646008 10.928593 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
73 44.650243 10.919688 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
74 44.517551 10.859047 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
75 44.630355 10.941384 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
76 44.647480 10.940212 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
77 44.643665 10.903189 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
78 44.624814 10.937688 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
79 44.648444 10.925599 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
80 44.606329 10.970405 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
81 44.627114 10.948538 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
82 44.679100 11.030249 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
83 44.645862 10.943654 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
84 44.647028 10.899999 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
85 44.644858 10.933528 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
86 44.689256 10.920358 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
87 44.626159 10.928194 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
88 44.653058 10.916925 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
89 44.644835 10.896816 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
90 44.637922 10.900269 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
91 44.668770 10.896675 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
92 44.649192 10.858874 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
93 44.808582 10.837993 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
94 44.629683 10.924988 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
95 44.651590 10.914133 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
96 44.789517 10.861862 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
97 44.635645 10.923698 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
98 44.562515 10.846061 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
99 44.645684 10.913780 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
100 44.643061 10.886084 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
