200 lat long pcc pcn mem st bw sd cost service task
1 44.661757 10.893162 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
2 44.530164 10.863294 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
3 44.620976 10.920928 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
4 44.578293 10.842339 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
5 44.630149 10.923425 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
6 44.643426 10.891692 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
7 44.574655 10.851296 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
8 44.587891 10.946703 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
9 44.620737 10.980565 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
10 44.542617 10.943059 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
11 44.667212 10.938491 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.630468 10.935947 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
13 44.589114 10.858776 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
14 44.637011 10.903547 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
15 44.661508 10.889147 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
16 44.675540 11.041978 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
17 44.634406 10.975937 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
18 44.636391 10.935298 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
19 44.635734 10.947216 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
20 44.647885 10.927507 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.657133 10.901686 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
22 44.621012 10.917444 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
23 44.642964 10.898701 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
24 44.644965 10.924770 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
25 44.643622 10.924285 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
26 44.630666 10.909429 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
27 44.666572 10.892736 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
28 44.684926 10.967801 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
29 44.635764 10.971245 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
30 44.631749 10.916527 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
31 44.654557 10.914575 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
32 44.662103 10.964165 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
33 44.639516 10.937508 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
34 44.606553 10.863299 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
35 44.612079 10.911914 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
36 44.655270 10.962604 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
37 44.628194 10.942825 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
38 44.655157 10.937415 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
39 44.641140 10.967674 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
40 44.654059 10.906719 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
41 44.628293 10.922684 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
42 44.632772 10.899272 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
43 44.647080 10.923876 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
44 44.696834 10.889165 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
45 44.660988 10.921575 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
46 44.645148 10.888136 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
47 44.647058 10.842760 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
48 44.659224 10.892006 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
49 44.657704 10.913445 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
50 44.633829 10.969333 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
51 44.630239 10.974414 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
52 44.657407 10.904793 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
53 44.657566 10.902329 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
54 44.789957 10.875245 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
55 44.652394 10.941063 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
56 44.646026 10.846565 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
57 44.629577 10.870020 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
58 44.644888 10.922599 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
59 44.635558 10.907146 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
60 44.639744 10.909265 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
61 44.587664 10.970517 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
62 44.628163 10.893693 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
63 44.550152 10.924810 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
64 44.676031 11.032249 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
65 44.625685 10.944142 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
66 44.648266 10.909767 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
67 44.629051 10.925539 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
68 44.600149 10.860586 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
69 44.682634 10.907414 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
70 44.640096 10.893330 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
71 44.640107 10.896095 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
72 44.635170 10.914836 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
73 44.644637 10.934088 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
74 44.639710 10.948131 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
75 44.653593 10.902316 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
76 44.688915 10.919713 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
77 44.650372 10.898436 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
78 44.800015 10.992203 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
79 44.622545 10.929545 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
80 44.509709 10.950041 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
81 44.630155 10.960969 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
82 44.655574 10.900547 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
83 44.881357 10.887794 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
84 44.656150 10.969054 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
85 44.310038 10.792578 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
86 44.842036 11.057235 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
87 44.631074 10.951644 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
88 44.656173 10.914561 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
89 44.647191 10.919890 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
90 44.645161 10.928992 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
91 44.671533 10.939246 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
92 44.512426 10.946981 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
93 44.886839 10.897389 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
94 44.657913 10.903107 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
95 44.653465 10.944126 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
96 44.637345 10.917497 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
97 44.639564 10.907711 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
98 44.654398 10.947156 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
99 44.530257 11.019961 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
100 44.665326 10.913667 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
101 44.661960 10.889476 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
102 44.634838 10.974548 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
103 44.643803 10.890940 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
104 44.664204 10.974826 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
105 44.664187 10.926576 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
106 44.629935 10.910739 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
107 44.637760 10.919078 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
108 44.649393 10.924580 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
109 44.615566 10.975004 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
110 44.644858 10.933528 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
