600 lat long pcc pcn mem st bw sd cost service task
1 44.625262 10.893088 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
2 44.647793 10.930327 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
3 44.654346 10.909586 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
4 44.645649 10.921296 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
5 44.633450 10.924301 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
6 44.602418 10.919662 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
7 44.645322 10.916054 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
8 44.643426 10.891692 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
9 44.849179 11.069823 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
10 44.644635 10.842004 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
11 44.675135 10.900189 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
12 44.627010 10.940864 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
13 44.687798 10.963777 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
14 44.644954 10.925246 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
15 44.726452 10.910250 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
16 44.661508 10.889147 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
17 44.661676 10.923367 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
18 44.286752 10.672077 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
19 44.287087 10.666050 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
20 44.635734 10.947216 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.571934 10.844666 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
22 44.646774 10.921880 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
23 44.600704 10.973442 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
24 44.657643 10.949641 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
25 44.678402 10.930480 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
26 44.662918 10.925206 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
27 44.630666 10.909429 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
28 44.641209 10.921766 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
29 44.643386 10.932400 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
30 44.662543 10.890877 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
31 44.643496 10.945125 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
32 44.575189 10.919481 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
33 44.635463 10.907084 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
34 44.624822 10.945836 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
35 44.634172 10.924156 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
36 44.645899 10.907711 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
37 44.632706 10.948055 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
38 44.639802 10.806131 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
39 44.632474 10.934182 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
40 44.662103 10.964165 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
41 44.610405 10.920063 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
42 44.536086 10.820911 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
43 44.626869 10.925723 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
44 44.343638 10.729244 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
45 44.636847 10.905362 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
