650 lat long pcc pcn mem st bw sd cost service task
1 44.625262 10.893088 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
2 44.647793 10.930327 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
3 44.656694 10.898991 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
4 44.690933 10.969304 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
5 44.645649 10.921296 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
6 44.633450 10.924301 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
7 44.642667 10.928747 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
8 44.628245 10.808032 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
9 44.602418 10.919662 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
10 44.645322 10.916054 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
11 44.849179 11.069823 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.638755 10.897222 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
13 44.620737 10.980565 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
14 44.644635 10.842004 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
15 44.627010 10.940864 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
16 44.644637 10.929353 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
17 44.589114 10.858776 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
18 44.726452 10.910250 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
19 44.689813 10.913941 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
20 44.628634 10.939588 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.675540 11.041978 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
22 44.661676 10.923367 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
23 44.286752 10.672077 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
24 44.651896 10.917380 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
25 44.635734 10.947216 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
26 44.571934 10.844666 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
27 44.646774 10.921880 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
28 44.600704 10.973442 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
29 44.657643 10.949641 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
30 44.628446 10.914559 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
31 44.656930 10.898282 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
32 44.662918 10.925206 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
33 44.748232 11.002663 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
34 44.630666 10.909429 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
35 44.641209 10.921766 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
36 44.656308 10.896589 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
37 44.629226 10.927507 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
38 44.661147 10.927231 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
39 44.666572 10.892736 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
40 44.662543 10.890877 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
41 44.643496 10.945125 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
42 44.595485 11.035603 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
43 44.575189 10.919481 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
44 44.635463 10.907084 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
45 44.624635 10.940973 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
46 44.624822 10.945836 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
47 44.638496 10.856699 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
48 44.634172 10.924156 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
49 44.632706 10.948055 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
