150 lat long pcc pcn mem st bw sd cost service task
1 44.625262 10.893088 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
2 44.630149 10.923425 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
3 44.649967 10.907460 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
4 44.623639 10.935868 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
5 44.500456 11.021603 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
6 44.641964 10.923701 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
7 44.287087 10.666050 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
8 44.653016 10.926072 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
9 44.647346 10.929423 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
10 44.696272 10.917355 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
11 44.748232 11.002663 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.629226 10.927507 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
13 44.643125 10.923329 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
14 44.644201 10.921690 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
15 44.653741 10.915598 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
16 44.645899 10.907711 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
17 44.654628 10.929789 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
18 44.636847 10.905362 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
19 44.884381 11.060460 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
20 44.625980 10.944816 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.656471 10.939548 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
22 44.578835 10.829993 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
23 44.660988 10.921575 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
24 44.631655 10.971580 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
25 44.647058 10.842760 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
26 44.626914 10.907268 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
27 44.630800 10.902486 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
28 44.627301 10.903417 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
29 44.620273 10.890021 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
30 44.645113 10.907136 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
