50 LAT LONG PCC PCN MEM ST BW COST TP
1 44.627679 10.905275 24 8 99.13169 317.39002 0 0.00138 4.16667 
2 44.645212 10.845204 17.4 6 63.83854 397.27148 0 0.00121 4.31034 
3 44.636184 10.894112 9.2 4 36.89621 412.31327 0 0.00097 5.43478 
4 44.657989 10.915088 17.4 6 89.19247 453.01368 0 0.00121 4.31034 
5 44.737869 10.927290 17.4 6 122.2352 106.26793 0 0.00121 4.31034 
6 44.644980 10.935084 17.4 6 121.08381 566.94355 0 0.00121 4.31034 
7 44.663952 10.925380 17.4 6 107.62715 26.88724 0 0.00121 4.31034 
8 44.643388 10.930879 24 8 111.26827 100.92417 0 0.00138 4.16667 
9 44.660017 10.922206 24 8 30.745 424.37873 0 0.00138 4.16667 
10 44.549887 10.943770 24 8 63.07726 974.90761 0 0.00138 4.16667 
11 44.535392 10.795644 9.2 4 69.82125 422.89935 0 0.00097 5.43478 
12 44.636083 10.908446 3.2 2 105.88108 740.32114 0 0.00085 7.8125 
13 44.644655 10.914930 24 8 1.51267 874.09729 0 0.00138 4.16667 
14 44.577738 10.839587 24 8 12.11307 691.11389 0 0.00138 4.16667 
15 44.660125 10.884774 30 10 42.56682 512.05633 0 0.00153 4.16667 
16 44.642818 10.895363 17.4 6 64.84674 266.63701 0 0.00121 4.31034 
17 44.553794 10.778387 17.4 6 85.73965 216.38891 0 0.00121 4.31034 
18 44.741874 10.923151 9.2 4 99.38253 807.58469 0 0.00097 5.43478 
19 44.627163 10.938222 30 10 39.76862 156.33846 0 0.00153 4.16667 
20 44.642706 10.890372 30 10 86.28656 249.47401 0 0.00153 4.16667 
21 44.640622 10.969588 9.2 4 92.85436 833.57037 0 0.00097 5.43478 
22 44.618301 10.825300 17.4 6 102.34767 578.83722 0 0.00121 4.31034 
23 44.657179 10.898772 30 10 85.63753 33.16906 0 0.00153 4.16667 
24 44.629848 10.936623 9.2 4 59.93544 651.66918 0 0.00097 5.43478 
25 44.603185 10.969607 9.2 4 100.11369 6.53029 0 0.00097 5.43478 
26 44.884673 11.069750 9.2 4 4.42532 223.87156 0 0.00097 5.43478 
27 44.625376 10.918105 30 10 105.45811 750.52775 0 0.00153 4.16667 
28 44.642795 10.939353 9.2 4 12.66166 7.22208 0 0.00097 5.43478 
29 44.649701 10.892467 24 8 3.50077 211.64692 0 0.00138 4.16667 
30 44.637655 10.924026 9.2 4 104.84263 533.82414 0 0.00097 5.43478 
31 44.685437 10.894296 3.2 2 7.49599 520.58168 0 0.00085 7.8125 
32 44.642547 10.944128 30 10 56.93165 235.32643 0 0.00153 4.16667 
33 44.629040 10.975422 17.4 6 81.86267 25.56841 0 0.00121 4.31034 
34 44.630032 10.960077 3.2 2 20.91312 84.56046 0 0.00085 7.8125 
35 44.637512 10.954229 30 10 64.07685 566.95117 0 0.00153 4.16667 
36 44.642593 10.930274 9.2 4 18.75499 846.44754 0 0.00097 5.43478 
37 44.662683 10.962235 24 8 79.17674 644.05181 0 0.00138 4.16667 
38 44.631776 10.905878 17.4 6 83.12079 685.10583 0 0.00121 4.31034 
39 44.544092 10.778658 17.4 6 12.72268 391.17431 0 0.00121 4.31034 
40 44.613096 10.935387 9.2 4 69.0227 119.60037 0 0.00097 5.43478 
41 44.741668 10.925969 17.4 6 19.56509 394.9956 0 0.00121 4.31034 
42 44.622677 10.912607 30 10 49.46698 861.28383 0 0.00153 4.16667 
43 44.651003 10.935226 24 8 7.83209 700.82707 0 0.00138 4.16667 
44 44.652821 10.904157 24 8 61.18244 355.1371 0 0.00138 4.16667 
45 44.625540 10.960703 3.2 2 75.59883 207.71959 0 0.00085 7.8125 
46 44.624342 10.909513 30 10 73.24879 997.58693 0 0.00153 4.16667 
47 44.611628 10.934530 24 8 43.87826 308.9492 0 0.00138 4.16667 
48 44.622497 10.943233 30 10 75.71106 753.98699 0 0.00153 4.16667 
49 44.627686 10.935059 30 10 7.34819 711.78486 0 0.00153 4.16667 
50 44.620104 10.931738 17.4 6 101.92168 618.41322 0 0.00121 4.31034 
